# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e1ffd7d180
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a3d4bf60f9180,memcpyHtoD,16.448,35,,,,,,,,,,,0,0,67600,0
123a3d4bf610c980,memcpyHtoD,15.584,28,,,,,,,,,,,0,0,67600,0
123a3d4bf61206e0,_Z12jacobikernelPfS_S_iifff,27.328,16,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf61280c0,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf612a880,memcpyDtoH,4.192,44,,,,,,,,,,,0,0,4,0
123a3d4bf61363e0,_Z12jacobikernelPfS_S_iifff,25.888,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf613d840,_Z15reductionkernelPfi,4.096,6,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf6140020,memcpyDtoH,4.192,41,,,,,,,,,,,0,0,4,0
123a3d4bf614a220,_Z12jacobikernelPfS_S_iifff,25.28,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf6151420,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf6153ba0,memcpyDtoH,3.968,45,,,,,,,,,,,0,0,4,0
123a3d4bf615d880,_Z12jacobikernelPfS_S_iifff,25.824,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf6164c80,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf6167420,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a3d4bf6171300,_Z12jacobikernelPfS_S_iifff,25.952,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf61787c0,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf617af60,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a3d4bf6184880,_Z12jacobikernelPfS_S_iifff,25.728,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf618bc20,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf618e3a0,memcpyDtoH,3.968,45,,,,,,,,,,,0,0,4,0
123a3d4bf6197e60,_Z12jacobikernelPfS_S_iifff,25.792,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a3d4bf619f260,_Z15reductionkernelPfi,4.128,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a3d4bf61a1a00,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
