# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19a4fc370
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a808153d41940,memcpyHtoD,15.616,19,,,,,,,,,,,0,0,26896,0
123a808153d519a0,memcpyHtoD,14.816,15,,,,,,,,,,,0,0,26896,0
123a808153d65620,_Z12jacobikernelPfS_S_iifff,13.216,16,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153d698e0,_Z15reductionkernelPfi,4.16,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153d6c0e0,memcpyDtoH,4.416,31,,,,,,,,,,,0,0,4,0
123a808153d77bc0,_Z12jacobikernelPfS_S_iifff,11.36,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153d7b7a0,_Z15reductionkernelPfi,4,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153d7dea0,memcpyDtoH,4.224,29,,,,,,,,,,,0,0,4,0
123a808153d87f00,_Z12jacobikernelPfS_S_iifff,11.296,5,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1391,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153d8ba80,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153d8e220,memcpyDtoH,4.064,31,,,,,,,,,,,0,0,4,0
