Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
32	3	66	0.098978	0.00105	0.094488			0.8981	
112	11	308	0.099957	0.0065	0.101714			8.3207	
192	19	576	0.099861	0.02401	0.123323			12.37595	
272	27	849	0.099991	0.05821	0.161932			15.1057	
352	35	1119	0.099899	0.11555	0.225769			16.7993	
432	43	1389	0.099991	0.2095	0.322669			17.3226	
512	51	1662	0.09993	0.34495	0.46257			17.6823	
592	59	1936	0.099976	0.5251	0.646713			18.0897	
672	67	2211	0.099945	0.76651	0.893687			18.2364	
752	75	2479	0.09996	1.06912	1.200922			18.3575	
832	83	2762	0.099976	1.44817	1.585421			18.4833	
912	91	3030	0.099976	1.90221	2.042683			18.5482	
992	99	3317	0.099976	2.45889	2.607254			18.5848	
1072	107	3586	0.099976	3.09423	3.246312			18.6456	
1152	115	3873	0.099976	3.85166	4.010461			18.6824	
1222	122	4111	0.099976	4.59434	4.753782			18.7066	
2052	205	7015	0.099976	22.03472	22.253548			18.7673	
4102	410	14255	0.099976	178.31987	178.704346			18.8316	

