Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82	5	227	0.09947	0.00405	0.100388			5.2732	
178	11	537	0.099754	0.01951	0.117901			12.2074	
274	17	856	0.099945	0.05079	0.157433			17.7135	
370	23	1179	0.099976	0.11421	0.223186			19..7847	
466	29	1505	0.099976	0.22066	0.335681			20.735	
562	35	1833	0.09996	0.37379	0.494618			21.6838	
658	41	2162	0.099991	0.59548	0.720961			22.0074	
754	47	2493	0.099976	0.88772	1.020276			22.3519	
850	53	2825	0.099976	1.26601	1.405438			22.5709	
946	59	3157	0.099945	1.74399	1.88667			22.6877	
1042	65	3491	0.099945	2.32525	2.477075			22.8215	
1138	71	3824	0.099976	3.0285	3.185281			22.893	
1234	77	4158	0.099976	3.86235	4.090503			22.9505	
2050	128	7012	0.099976	17.79701	18.014532			23.1809	
4098	256	14240	0.099976	143.83018	144.213623			23.2773	

