Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82	5	226	0.099987	0.00445	0.100791			4	
130	8	379	0.09996	0.0129	0.111489			6.9507	
178	11	537	0.09996	0.02751	0.126506			8.6584	
226	14	696	0.099915	0.05085	0.152148			9.7881	
274	17	856	0.099945	0.08454	0.200813			10.6434	
322	20	1017	0.09993	0.12816	0.23622			11.6184	
370	23	1179	0.099976	0.18483	0.294349			12.2254	
418	26	1342	0.09996	0.26052	0.372658			12.6004	
466	29	1505	0.099976	0.35108	0.467495			13.0327	
514	32	1669	0.09996	0.50925	0.62747			12.1221	
562	35	1833	0.09996	0.60353	0.724044			13.4297	
610	38	1998	0.099945	0.76595	0.889672			13.5889	
658	41	2162	0.099991	0.95021	1.075974			12.7916	
706	44	2328	0.099976	1.17015	1.301122			13.8828	
754	47	2493	0.099976	1.42012	1.552796			13.9723	
802	50	2659	0.099976	1.69373	1.868258			14.1368	
850	53	2825	0.099976	2.04116	2.178873			13.9993	
898	56	2990	0.099976	2.39238	2.533317			14.1098	
946	59	3157	0.099945	2.78303	2.926442			14.2124	
994	62	3323	0.099976	3.17523	3.321536			14.4763	
1042	65	3491	0.099945	3.92798	4.079208			13.5096	
1090	68	3657	0.099976	4.22958	4.383662			14.3816	
1138	71	3824	0.099976	4.76096	4.918641			14.5625	
1186	74	3991	0.099945	5.43057	5.589749			14.4722	
1234	77	4158	0.099976	6.11461	6.30165			14.4969	
1282	80	4324	0.099976	7.34292	7.508499			13.5494	
1026	64	3435	0.099945	4.02352	4.170458			12.5818	
2050	128	7012	0.099976	33.13004	33.346325			12.4525	
4098	256	14240	0.099976	270.31293	270.697144			12.3855	

