Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82	5	226	0.099987	0.00445	0.100791			6.9507	
130	8	379	0.09996	0.0129	0.111489			8.6584	
178	11	537	0.09996	0.02751	0.126506			9.7881	
226	14	696	0.099915	0.05085	0.152148			10.6434	
274	17	856	0.099945	0.08454	0.200813			11.6184	
322	20	1017	0.09993	0.12816	0.23622			12.2254	
370	23	1179	0.099976	0.18483	0.294349			12.6004	
418	26	1342	0.09996	0.26052	0.372658			13.0327	
466	29	1505	0.099976	0.35108	0.467495			12.1221	
514	32	1669	0.09996	0.50925	0.62747			13.4297	
562	35	1833	0.09996	0.60353	0.724044			13.5889	
610	38	1998	0.099945	0.76595	0.889672			12.7916	
658	41	2162	0.099991	0.95021	1.075974			13.8828	
706	44	2328	0.099976	1.17015	1.301122			13.9723	
754	47	2493	0.099976	1.42012	1.552796			14.1368	
802	50	2659	0.099976	1.69373	1.868258			13.9993	
850	53	2825	0.099976	2.04116	2.178873			14.1098	
898	56	2990	0.099976	2.39238	2.533317			14.2124	
946	59	3157	0.099945	2.78303	2.926442			14.4763	
994	62	3323	0.099976	3.17523	3.321536			13.5096	
1042	65	3491	0.099945	3.92798	4.079208			14.3816	
1090	68	3657	0.099976	4.22958	4.383662			14.5625	
1138	71	3824	0.099976	4.76096	4.918641			14.4722	
1186	74	3991	0.099945	5.43057	5.589749			14.4969	
1234	77	4158	0.099976	6.11461	6.30165			13.5494	
1282	80	4324	0.099976	7.34292	7.508499				
								12.5818	
1026	64	3435	0.099945	4.02352	4.170458			12.4525	
2050	128	7012	0.099976	33.13004	33.346325			12.3855	

