Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82		226	0.099987	0.00529	0.100833			4.0189	
130		379	0.09996	0.01425	0.109881			6.2944	
178		536	0.09996	0.02902	0.131831			8.1918	
226		695	0.099915	0.05249	0.154086			9.4672	
274		855	0.099945	0.8594	0.192963			10.4574	
322		1016	0.009993	0.12867	0.235391			11.4617	
370		1178	0.099976	0.1873	0.298061			12.0544	
418		1341	0.09996	0.26119	0.373035			12.5588	
466		1504	0.099976	0.35318	0.46805			12.9466	
514		1668	0.09996	0.51479	0.632299			11.9845	
562		1832	0.09996	0.60509	0.724905			13.3876	
610		1997	0.099945	0.76851	0.891391			13.5367	
658		2161	0.099991	0.95286	1.17494			13.747	
706		2327	0.099976	1.17188	1.300988			13.8564	
754		2492	0.099976	1.42317	1.555324			13.9386	
802		2658	0.099976	1.6935	1.827709			14.1334	
850		2824	0.099976	2.04421	2.181789			13.9735	
898		2989	0.099976	2.39149	2.590549			14.1104	
946		3156	0.099945	2.78497	2.930358			14.198	
994		3322	0.099976	3.1754	3.317527			14.4887	
1026		3434	0.099945	3.9927	4.141646			12.6752	
1042		3490	0.099945	3.88334	4.032139			13.661	
1090		3656	0.099976	4.22767	4.380319			14.3842	
1138		3823	0.099976	4.76211	4.917159			14.5552	
1186		3990	0.099945	5.42489	5.582916			14.4837	
1234		4157	0.099976	6.116	6.278488			14.4901	
2050		7011	0.099976	32.60331	32.821293			12.6519	
4098		14239	0.099976	266.53998	267.138397			12.56	

