Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS
82	5	227	0.09947	0.00385	0.099897			5.5483
130	8	379	0.09996	0.00902	0.105383			9.939
194	12	590	0.099907	0.02084	0.119869			14.9138
258	16	803	0.099884	0.0428	0.148441			17.4824
322	20	1017	0.09993	0.07391	0.182048			19.9727
386	24	1233	0.099976	0.11973	0.229766			21.4818
450	28	1450	0.099991	0.18302	0.299287			22.4602
514	32	1669	0.09996	0.2648	0.383469			23.3129
578	36	1888	0.099976	0.37027	0.492314			23.8486
642	40	2108	0.099945	0.50158	0.625923			24.2507
706	44	2328	0.099976	0.66214	0.791974			24.5341
770	48	2549	0.099945	0.85202	0.984978			24.833
834	52	2769	0.099976	1.08271	1.219621			24.904
898	56	2990	0.099976	1.34603	1.486807			25.0782
962	60	3213	0.099976	1.64324	1.78806			25.3331
1026	64	3435	0.099945	2.00639	2.15548			25.231
1090	68	3657	0.099976	2.39916	2.552091			25.354
1154	72	3879	0.099976	2.83986	2.994111			25.4661
2050	128	7012	0.099976	15.99943	16.215033			25.7854
4098	256	14240	0.099976	129.0576	129.600739			25.9417

