Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
32	3	66	0.098978	0.00127	0.090562			0.7453	
112	11	208	0.099957	0.00755	0.100616			7.1605	
192	19	575	0.099861	0.02563	0.124142			11.5803	
272	27	848	0.099991	0.05995	0.163639			14.6515	
352	35	1118	0.099899	0.11582	0.222334			16.7443	
432	43	1388	0.099991	0.20706	0.318615			17.5144	
512	51	1661	0.09993	0.33804	0.455639			18.0332	
592	59	1935	0.099976	0.50895	0.629155			18.6543	
672	67	2210	0.099945	0.74081	0.866993			18.8604	
752	75	2478	0.09996	1.03115	1.161277			19.0258	
832	83	2761	0.099976	1.39189	1.528172			19.2237	
912	91	3029	0.099976	1.8263	1.965657			19.3128	
992	99	3316	0.099976	2.35831	2.504635			19.3716	
1072	107	3585	0.099976	2.95756	3.107446			19.5017	
1152	115	3872	0.099976	3.68299	3.837586			19.5329	
1222	122	4110	0.099976	4.38973	4.549281			19.5738	
2052	205	7014	0.099976	21.04111	21.256563			19.6508	
4102	410	14254	0.099976	170.00333	170.392593			19.7514	

