Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
44	3	85	0.099482	0.00174	0.091854			1.3217	
128	9	373	0.099869	0.00969	0.10387			8.8309	
212	15	648	0.099945	0.0299	0.129216			13.6378	
296	21	928	0.099976	0.06836	0.173027			16.6507	
380	27	1188	0.099991	0.13374	0.243			17.9576	
464	33	1497	0.09996	0.23502	0.348067			19.1989	
548	39	1784	0.09996	0.37611	0.495783			19.9422	
632	45	2072	0.099976	0.56865	0.692245			20.3755	
716	51	2361	0.099976	0.81998	0.948139			20.6657	
800	57	2651	0.099976	1.13533	1.2707			20.9216	
884	63	2941	0.099976	1.52592	1.663953			21.086	
968	69	3233	0.099945	1.99879	2.144102			21.2187	
1052	75	3523	0.099976	2.56249	2.7137			21.3015	
1136	81	3815	0.099976	3.21611	3.37134			21.4313	
1220	87	4107	0.099976	3.98401	4.144327			21.4809	
2046	146	6997	0.099976	18.97067	19.188101			21.6157	
4104	293	14261	0.099976	153.56969	154.144913			21.8971	

